,year,created_at,original,edited,tweet_without_stopwords,text_token,text_string,text_string_fdist,text_string_excluded,text_string_lem,tmp_lem,is_equal,neg,neu,pos,compound,sentiment,pandemic,category
5974,2017,2017-11-26,The only hydrogen refueling stations that I am aware of are in So. Cal built to test hydrogen engines for Honda... https://t.co/zIu4cPibdc,the only hydrogen refueling stations that i am aware of are in so  cal built to test hydrogen engines for honda    , hydrogen refueling stations aware cal built test hydrogen engines honda ,"['hydrogen', 'refueling', 'stations', 'aware', 'cal', 'built', 'test', 'hydrogen', 'engines', 'honda']",hydrogen refueling stations aware cal built test hydrogen engines honda,hydrogen refueling stations aware built test hydrogen engines honda,hydrogen refueling stations aware cal built test hydrogen engines honda,hydrogen refueling stations aware built test hydrogen engines honda,hydrogen refueling stations aware cal built test hydrogen engines honda,True,0.0,1.0,0.0,0.0,neutral,True,hydrogen
17898,2019,2019-08-27,"An interesting video from the Mercedes-Benz Hydrogen Engine Factory, building a Hydrogen fuel cell engine. Watch the video here: https://t.co/J9tJxzEafN

#hazergroupltd #mercedesbenz #hydrogen #fuelcellvehicle #cleantech #greenenergy #biogas https://t.co/rG3ZYDMGV8",an interesting video from the mercedes benz hydrogen engine factory  building a hydrogen fuel cell engine  watch the video here           , interesting video mercedes benz hydrogen engine factory building hydrogen fuel cell engine watch video ,"['interesting', 'video', 'mercedes', 'benz', 'hydrogen', 'engine', 'factory', 'building', 'hydrogen', 'fuel', 'cell', 'engine', 'watch', 'video']",interesting video mercedes benz hydrogen engine factory building hydrogen fuel cell engine watch video,interesting video mercedes benz hydrogen engine factory building hydrogen fuel cell engine watch video,interesting video mercedes benz hydrogen engine factory building hydrogen engine watch video,interesting video mercedes benz hydrogen engine factory building hydrogen fuel cell engine watch video,interesting video mercedes benz hydrogen engine factory building hydrogen engine watch video,True,0.0,0.828,0.172,0.4019,positive,True,hydrogen
29259,2021,2021-01-31,"Scania has invested in hydrogen ... The engineers have gained insights from these tests and efforts will continue. However, the use of hydrogen will be limited since three times as much renewable electricity is needed to power a hydrogen truck compared to a battery electric truck",scania has invested in hydrogen     the engineers have gained insights from these tests and efforts will continue  however  the use of hydrogen will be limited since three times as much renewable electricity is needed to power a hydrogen truck compared to a battery electric truck,scania invested hydrogen engineers gained insights tests efforts continue however use hydrogen limited since three times much renewable electricity needed power hydrogen truck compared battery electric truck,"['scania', 'invested', 'hydrogen', 'engineers', 'gained', 'insights', 'tests', 'efforts', 'continue', 'however', 'use', 'hydrogen', 'limited', 'since', 'three', 'times', 'much', 'renewable', 'electricity', 'needed', 'power', 'hydrogen', 'truck', 'compared', 'battery', 'electric', 'truck']",scania invested hydrogen engineers gained insights tests efforts continue however use hydrogen limited since three times much renewable electricity needed power hydrogen truck compared battery electric truck,scania invested hydrogen engineers gained insights tests efforts continue however use hydrogen limited since three times much renewable electricity needed power hydrogen truck compared battery electric truck,scania invested hydrogen engineers gained insights tests efforts continue however use hydrogen limited since three times much renewable electricity needed power hydrogen truck compared truck,scania invested hydrogen engineers gained insights tests efforts continue however use hydrogen limited since three times much renewable electricity needed power hydrogen truck compared battery electric truck,scania invested hydrogen engineers gained insights tests efforts continue however use hydrogen limited since three times much renewable electricity needed power hydrogen truck compared truck,True,0.064,0.847,0.088,0.1779,positive,True,electric
32291,2021,2021-04-30,"Global majors bet on hydrogen motoring
Daimler Truck &amp; Volvo ink fuel-cells JV for long-haul trucks https://t.co/bGo0CIF66V
Toyota's hydrogen IC engine https://t.co/5KwDLfRY8F
FEV hydrogen ICE https://t.co/8jMyXTFqU3
Bosch-Qingling Motors JV for fuel cells https://t.co/Uz7mZ3p1pY https://t.co/Hm7gn6Aivi",global majors bet on hydrogen motoring daimler truck  amp  volvo ink fuel cells jv for long haul trucks  toyota s hydrogen ic engine  fev hydrogen ice  bosch qingling motors jv for fuel cells  ,global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells jv long haul trucks toyota hydrogen ic engine fev hydrogen ice bosch qingling motors jv fuel cells ,"['global', 'majors', 'bet', 'hydrogen', 'motoring', 'daimler', 'truck', 'amp', 'volvo', 'ink', 'fuel', 'cells', 'jv', 'long', 'haul', 'trucks', 'toyota', 'hydrogen', 'ic', 'engine', 'fev', 'hydrogen', 'ice', 'bosch', 'qingling', 'motors', 'jv', 'fuel', 'cells']",global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells long haul trucks toyota hydrogen engine fev hydrogen ice bosch qingling motors fuel cells,global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells long haul trucks toyota hydrogen engine fev hydrogen ice bosch qingling motors fuel cells,global majors bet hydrogen motoring daimler truck amp volvo ink jv long haul trucks toyota hydrogen ic engine fev hydrogen ice bosch qingling motors jv,global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells long haul trucks toyota hydrogen engine fev hydrogen ice bosch qingling motors fuel cells,global majors bet hydrogen motoring daimler truck amp volvo ink jv long haul trucks toyota hydrogen ic engine fev hydrogen ice bosch qingling motors jv,True,0.0,1.0,0.0,0.0,neutral,True,hydrogen
32302,2021,2021-04-30,"Global majors bet on hydrogen motoring
Daimler Truck &amp; Volvo ink fuel-cells JV for long-haul trucks https://t.co/bGo0CIF66V
Toyota's hydrogen IC engine https://t.co/5KwDLfRY8F
FEV hydrogen ICE https://t.co/8jMyXTFqU3
Bosch-Qingling Motors JV for fuel cells https://t.co/Uz7mZ3p1pY https://t.co/Hm7gn6Aivi",global majors bet on hydrogen motoring daimler truck  amp  volvo ink fuel cells jv for long haul trucks  toyota s hydrogen ic engine  fev hydrogen ice  bosch qingling motors jv for fuel cells  ,global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells jv long haul trucks toyota hydrogen ic engine fev hydrogen ice bosch qingling motors jv fuel cells ,"['global', 'majors', 'bet', 'hydrogen', 'motoring', 'daimler', 'truck', 'amp', 'volvo', 'ink', 'fuel', 'cells', 'jv', 'long', 'haul', 'trucks', 'toyota', 'hydrogen', 'ic', 'engine', 'fev', 'hydrogen', 'ice', 'bosch', 'qingling', 'motors', 'jv', 'fuel', 'cells']",global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells long haul trucks toyota hydrogen engine fev hydrogen ice bosch qingling motors fuel cells,global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells long haul trucks toyota hydrogen engine fev hydrogen ice bosch qingling motors fuel cells,global majors bet hydrogen motoring daimler truck amp volvo ink jv long haul trucks toyota hydrogen ic engine fev hydrogen ice bosch qingling motors jv,global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells long haul trucks toyota hydrogen engine fev hydrogen ice bosch qingling motors fuel cells,global majors bet hydrogen motoring daimler truck amp volvo ink jv long haul trucks toyota hydrogen ic engine fev hydrogen ice bosch qingling motors jv,True,0.0,1.0,0.0,0.0,neutral,True,hydrogen
32334,2021,2021-04-30,"Global majors bet on hydrogen motoring
Daimler Truck &amp; Volvo ink fuel-cells JV for long-haul trucks https://t.co/bGo0CIF66V
Toyota's hydrogen IC engine https://t.co/5KwDLfRY8F
FEV hydrogen ICE https://t.co/8jMyXTFqU3
Bosch-Qingling Motors JV for fuel cells https://t.co/Uz7mZ3p1pY https://t.co/Hm7gn6Aivi",global majors bet on hydrogen motoring daimler truck  amp  volvo ink fuel cells jv for long haul trucks  toyota s hydrogen ic engine  fev hydrogen ice  bosch qingling motors jv for fuel cells  ,global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells jv long haul trucks toyota hydrogen ic engine fev hydrogen ice bosch qingling motors jv fuel cells ,"['global', 'majors', 'bet', 'hydrogen', 'motoring', 'daimler', 'truck', 'amp', 'volvo', 'ink', 'fuel', 'cells', 'jv', 'long', 'haul', 'trucks', 'toyota', 'hydrogen', 'ic', 'engine', 'fev', 'hydrogen', 'ice', 'bosch', 'qingling', 'motors', 'jv', 'fuel', 'cells']",global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells long haul trucks toyota hydrogen engine fev hydrogen ice bosch qingling motors fuel cells,global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells long haul trucks toyota hydrogen engine fev hydrogen ice bosch qingling motors fuel cells,global majors bet hydrogen motoring daimler truck amp volvo ink jv long haul trucks toyota hydrogen ic engine fev hydrogen ice bosch qingling motors jv,global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells long haul trucks toyota hydrogen engine fev hydrogen ice bosch qingling motors fuel cells,global majors bet hydrogen motoring daimler truck amp volvo ink jv long haul trucks toyota hydrogen ic engine fev hydrogen ice bosch qingling motors jv,True,0.0,1.0,0.0,0.0,neutral,True,hydrogen
32396,2021,2021-05-01,"Global majors bet on hydrogen motoring
Daimler Truck &amp; Volvo ink fuel-cells JV for long-haul trucks https://t.co/bGo0CIF66V
Toyota's hydrogen IC engine https://t.co/5KwDLfRY8F
FEV hydrogen ICE https://t.co/8jMyXTFqU3
Bosch-Qingling Motors JV for fuel cells https://t.co/Uz7mZ3p1pY https://t.co/gQ8COuaWDG",global majors bet on hydrogen motoring daimler truck  amp  volvo ink fuel cells jv for long haul trucks  toyota s hydrogen ic engine  fev hydrogen ice  bosch qingling motors jv for fuel cells  ,global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells jv long haul trucks toyota hydrogen ic engine fev hydrogen ice bosch qingling motors jv fuel cells ,"['global', 'majors', 'bet', 'hydrogen', 'motoring', 'daimler', 'truck', 'amp', 'volvo', 'ink', 'fuel', 'cells', 'jv', 'long', 'haul', 'trucks', 'toyota', 'hydrogen', 'ic', 'engine', 'fev', 'hydrogen', 'ice', 'bosch', 'qingling', 'motors', 'jv', 'fuel', 'cells']",global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells long haul trucks toyota hydrogen engine fev hydrogen ice bosch qingling motors fuel cells,global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells long haul trucks toyota hydrogen engine fev hydrogen ice bosch qingling motors fuel cells,global majors bet hydrogen motoring daimler truck amp volvo ink jv long haul trucks toyota hydrogen ic engine fev hydrogen ice bosch qingling motors jv,global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells long haul trucks toyota hydrogen engine fev hydrogen ice bosch qingling motors fuel cells,global majors bet hydrogen motoring daimler truck amp volvo ink jv long haul trucks toyota hydrogen ic engine fev hydrogen ice bosch qingling motors jv,True,0.0,1.0,0.0,0.0,neutral,True,hydrogen
32406,2021,2021-05-01,"Global majors bet on hydrogen motoring
Daimler Truck &amp; Volvo ink fuel-cells JV for long-haul trucks https://t.co/bGo0CIF66V
Toyota's hydrogen IC engine https://t.co/5KwDLfRY8F
FEV hydrogen ICE https://t.co/8jMyXTFqU3
Bosch-Qingling Motors JV for fuel cells https://t.co/Uz7mZ3p1pY https://t.co/gQ8COuaWDG",global majors bet on hydrogen motoring daimler truck  amp  volvo ink fuel cells jv for long haul trucks  toyota s hydrogen ic engine  fev hydrogen ice  bosch qingling motors jv for fuel cells  ,global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells jv long haul trucks toyota hydrogen ic engine fev hydrogen ice bosch qingling motors jv fuel cells ,"['global', 'majors', 'bet', 'hydrogen', 'motoring', 'daimler', 'truck', 'amp', 'volvo', 'ink', 'fuel', 'cells', 'jv', 'long', 'haul', 'trucks', 'toyota', 'hydrogen', 'ic', 'engine', 'fev', 'hydrogen', 'ice', 'bosch', 'qingling', 'motors', 'jv', 'fuel', 'cells']",global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells long haul trucks toyota hydrogen engine fev hydrogen ice bosch qingling motors fuel cells,global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells long haul trucks toyota hydrogen engine fev hydrogen ice bosch qingling motors fuel cells,global majors bet hydrogen motoring daimler truck amp volvo ink jv long haul trucks toyota hydrogen ic engine fev hydrogen ice bosch qingling motors jv,global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells long haul trucks toyota hydrogen engine fev hydrogen ice bosch qingling motors fuel cells,global majors bet hydrogen motoring daimler truck amp volvo ink jv long haul trucks toyota hydrogen ic engine fev hydrogen ice bosch qingling motors jv,True,0.0,1.0,0.0,0.0,neutral,True,hydrogen
32412,2021,2021-05-01,"Global majors bet on hydrogen motoring
Daimler Truck &amp; Volvo ink fuel-cells JV for long-haul trucks https://t.co/bGo0CIF66V
Toyota's hydrogen IC engine https://t.co/5KwDLfRY8F
FEV hydrogen ICE https://t.co/8jMyXTFqU3
Bosch-Qingling Motors JV for fuel cells https://t.co/Uz7mZ3p1pY https://t.co/gQ8COuaWDG",global majors bet on hydrogen motoring daimler truck  amp  volvo ink fuel cells jv for long haul trucks  toyota s hydrogen ic engine  fev hydrogen ice  bosch qingling motors jv for fuel cells  ,global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells jv long haul trucks toyota hydrogen ic engine fev hydrogen ice bosch qingling motors jv fuel cells ,"['global', 'majors', 'bet', 'hydrogen', 'motoring', 'daimler', 'truck', 'amp', 'volvo', 'ink', 'fuel', 'cells', 'jv', 'long', 'haul', 'trucks', 'toyota', 'hydrogen', 'ic', 'engine', 'fev', 'hydrogen', 'ice', 'bosch', 'qingling', 'motors', 'jv', 'fuel', 'cells']",global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells long haul trucks toyota hydrogen engine fev hydrogen ice bosch qingling motors fuel cells,global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells long haul trucks toyota hydrogen engine fev hydrogen ice bosch qingling motors fuel cells,global majors bet hydrogen motoring daimler truck amp volvo ink jv long haul trucks toyota hydrogen ic engine fev hydrogen ice bosch qingling motors jv,global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells long haul trucks toyota hydrogen engine fev hydrogen ice bosch qingling motors fuel cells,global majors bet hydrogen motoring daimler truck amp volvo ink jv long haul trucks toyota hydrogen ic engine fev hydrogen ice bosch qingling motors jv,True,0.0,1.0,0.0,0.0,neutral,True,hydrogen
32861,2021,2021-05-08,"Global majors bet on hydrogen motoring
Daimler Truck &amp; Volvo ink fuel-cells JV for long-haul trucks https://t.co/bGo0CIF66V
Toyota's hydrogen IC engine https://t.co/5KwDLfRY8F
FEV hydrogen ICE https://t.co/8jMyXTFqU3
Bosch-Qingling Motors JV for fuel cells https://t.co/Uz7mZ3p1pY https://t.co/PYb11JXead",global majors bet on hydrogen motoring daimler truck  amp  volvo ink fuel cells jv for long haul trucks  toyota s hydrogen ic engine  fev hydrogen ice  bosch qingling motors jv for fuel cells  ,global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells jv long haul trucks toyota hydrogen ic engine fev hydrogen ice bosch qingling motors jv fuel cells ,"['global', 'majors', 'bet', 'hydrogen', 'motoring', 'daimler', 'truck', 'amp', 'volvo', 'ink', 'fuel', 'cells', 'jv', 'long', 'haul', 'trucks', 'toyota', 'hydrogen', 'ic', 'engine', 'fev', 'hydrogen', 'ice', 'bosch', 'qingling', 'motors', 'jv', 'fuel', 'cells']",global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells long haul trucks toyota hydrogen engine fev hydrogen ice bosch qingling motors fuel cells,global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells long haul trucks toyota hydrogen engine fev hydrogen ice bosch qingling motors fuel cells,global majors bet hydrogen motoring daimler truck amp volvo ink jv long haul trucks toyota hydrogen ic engine fev hydrogen ice bosch qingling motors jv,global majors bet hydrogen motoring daimler truck amp volvo ink fuel cells long haul trucks toyota hydrogen engine fev hydrogen ice bosch qingling motors fuel cells,global majors bet hydrogen motoring daimler truck amp volvo ink jv long haul trucks toyota hydrogen ic engine fev hydrogen ice bosch qingling motors jv,True,0.0,1.0,0.0,0.0,neutral,True,hydrogen
